lag,mean,std
-96,0.02195979512988444,0.0
-95,0.027434901679690427,0.0
-94,0.0326096747792981,0.0
-93,0.04126590881445935,0.0
-92,0.047512293290040475,0.0
-91,0.04963273761914522,0.0
-90,0.04227813724218876,0.0
-89,0.03576112415917976,0.0
-88,0.021724427397462165,0.0
-87,0.01493047358983901,0.0
-86,-0.0020465789794918976,0.0
-85,-0.022006341723631806,0.0
-84,-0.047081671450193596,0.0
-83,-0.06290043369140719,0.0
-82,-0.07892209432812436,0.0
-81,-0.09514728158984198,0.0
-80,-0.11117905414648277,0.0
-79,-0.1244832142275385,0.0
-78,-0.13849019953027408,0.0
-77,-0.1514593527607424,0.0
-76,-0.1580584273037111,0.0
-75,-0.16744958229589813,0.0
-74,-0.17495672736035317,0.0
-73,-0.175490733496094,0.0
-72,-0.17656311126171786,0.0
-71,-0.1763670424267545,0.0
-70,-0.17042915461425778,0.0
-69,-0.1640524199062483,0.0
-68,-0.15377132363281376,0.0
-67,-0.1445866104912099,0.0
-66,-0.13510966272949076,0.0
-65,-0.1217174025224601,0.0
-64,-0.10790845232030932,0.0
-63,-0.10329231898632685,0.0
-62,-0.08940151403515628,0.0
-61,-0.07801233811914088,0.0
-60,-0.07090966233105434,0.0
-59,-0.0640684030664076,0.0
-58,-0.05490168553711072,0.0
-57,-0.04884179965234381,0.0
-56,-0.04448150409179519,0.0
-55,-0.04135654735155825,0.0
-54,-0.03656990100097701,0.0
-53,-0.030114748893556254,0.0
-52,-0.029324874956053293,0.0
-51,-0.023214596931641296,0.0
-50,-0.023502643526363443,0.0
-49,-0.015161185794923426,0.0
-48,-0.00943705091113145,0.0
-47,-0.011259532470702993,0.0
-46,-0.0048702952802734956,0.0
-45,0.0025124184589842002,0.0
-44,0.008638021500001258,0.0
-43,0.009387748549805508,0.0
-42,0.0026185618749998696,0.0
-41,0.00070705690722761,0.0
-40,-0.010368423334959687,0.0
-39,-0.019794643878903173,0.0
-38,-0.033310834467773276,0.0
-37,-0.04904859545019491,0.0
-36,-0.061602887633789294,0.0
-35,-0.0780369550097646,0.0
-34,-0.08662681529395044,0.0
-33,-0.10415797243163993,0.0
-32,-0.11928349411132899,0.0
-31,-0.13605412271874684,0.0
-30,-0.14703576562109077,0.0
-29,-0.16250957093750173,0.0
-28,-0.17338151890625042,0.0
-27,-0.18177280526074213,0.0
-26,-0.191519921110352,0.0
-25,-0.19908186438085806,0.0
-24,-0.2004884491630854,0.0
-23,-0.19837259873144575,0.0
-22,-0.194835192800781,0.0
-21,-0.18643046633398086,0.0
-20,-0.17631721368847764,0.0
-19,-0.1663442631943326,0.0
-18,-0.14968681931933503,0.0
-17,-0.13989702003613402,0.0
-16,-0.12506009306054722,0.0
-15,-0.10659305147558484,0.0
-14,-0.0949790373369126,0.0
-13,-0.0776061447919929,0.0
-12,-0.06755297042871078,0.0
-11,-0.0533712157158206,0.0
-10,-0.04769731200293137,0.0
-9,-0.03817670429101483,0.0
-8,-0.030264545416017086,0.0
-7,-0.024045535378906635,0.0
-6,-0.02191124495117336,0.0
-5,-0.01925669216113235,0.0
-4,-0.02128678118359062,0.0
-3,-0.01878671447753888,0.0
-2,-0.013998453712886771,0.0
-1,-0.013540691008788741,0.0
0,-0.010066708952148673,0.0
1,-0.0038124137167976357,0.0
2,-0.00040306259570854763,0.0
3,0.010570131833983254,0.0
4,0.020052731041019456,0.0
5,0.03019601854003895,0.0
6,0.04002968270800622,0.0
7,0.049405646619142374,0.0
8,0.05861847116406693,0.0
9,0.07272322518749874,0.0
10,0.08362025346973567,0.0
11,0.09020689263476456,0.0
12,0.0990590413339838,0.0
13,0.10519984594336051,0.0
14,0.10913545368261879,0.0
15,0.10663168533105605,0.0
16,0.10758580225488146,0.0
17,0.10406908237988333,0.0
18,0.09779725758593827,0.0
19,0.09553385993652341,0.0
20,0.09131070467871183,0.0
21,0.08993262072949193,0.0
22,0.0823273504462918,0.0
23,0.08221192546191247,0.0
24,0.08159052791406651,0.0
25,0.08421213456445287,0.0
26,0.08435524819335427,0.0
27,0.09056068585644539,0.0
28,0.09610212141699392,0.0
29,0.10160092378417929,0.0
30,0.11317223065625015,0.0
31,0.12706685708007726,0.0
32,0.13991468778124982,0.0
33,0.15108827055859209,0.0
34,0.16251775966015458,0.0
35,0.17766958554492618,0.0
36,0.1826127214697273,0.0
37,0.1972691372324249,0.0
38,0.20390904191503978,0.0
39,0.20756773871875112,0.0
40,0.21493624387207078,0.0
41,0.2159437571630889,0.0
42,0.21523476242578,0.0
43,0.2134655004023429,0.0
44,0.21127782813769613,0.0
45,0.20450205755761885,0.0
46,0.19916936434960775,0.0
47,0.19023411387109235,0.0
48,0.18837829014941576,0.0
49,0.1833355859003909,0.0
50,0.1803923662343756,0.0
51,0.182316841161132,0.0
52,0.18150157301172243,0.0
53,0.18633506255761745,0.0
54,0.19178652940527385,0.0
55,0.19625942029882637,0.0
56,0.2024545958906252,0.0
57,0.2106482109980483,0.0
58,0.21672475534667868,0.0
59,0.2228229170380871,0.0
60,0.22850562724707402,0.0
61,0.23468728359765478,0.0
62,0.23557159564941443,0.0
63,0.23489985354882847,0.0
64,0.2354398359374983,0.0
65,0.230777857924803,0.0
66,0.22209943529882636,0.0
67,0.2175790577099619,0.0
68,0.21084634290038906,0.0
